account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_category_code,transaction_number
11111,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    TX,8299,1
26522,01252021 16:36:04,0.5,1262021,8032325303,COCA COLA DRAPER UT    DRAPER        LA,5814,1
31938,01022021 20:58:19,3.08,1042021,3.32E+14,HARMONS-TRAVERSE MNT   WEST VALLEY C MI,5411,1
31094,01022021 14:03:56,8,1042021,5.35E+14,PEARWOOD SKATE CENTER  PEARLAND      NJ,7996,1
53111,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    OH,8299,1
53222,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    OH,8299,1
54566,02192021 09:55:25,7.9,2202021,5.27E+14,Starbucks          4349515499    IL,8299,1
18393,01012021 10:50:22,8.6,1032021,48201409991,Wal-Mart Store         HOUSTON        AK,5310,1
37466,01012021 10:14:12,4.71,1022021,4.45E+12,TARGET        00020933 HOUSTON       OH,5411,1
22222,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    CA,8299,1
43991,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    MI,8299,1
44891,02192021 09:55:25,1009.9,2202021,5.27E+14,CFA Institute          4349515499    NJ,8299,1
46762,02192021 09:55:25,10.9,2202021,5.27E+14,Burger King          4349515499    AK,8299,1
33333,02192021 09:55:25,1009.9,2202021,5.27E+14,McDonalds          4349515499    NY,8299,1
38829,01032021 12:11:25,20,1042021,2.43E+14,SQ *DIMASSI S KIRBY    Houston       OH,5812,1
25643,01022021 09:44:14,14,1042021,2.43E+14,SQ *PEARLAND COFFEE RO PEARLAND      IL,5814,1
32628,01032021 12:55:07,20,1052021,5.20E+14,VENETIAN NAIL SPA-SPRI SPRING        CA,7230,1
18054,01052021 12:06:22,13,1072021,2.25E+11,CHAPULTEPEC LUPITA     HOUSTON       SD,5812,1
37632,01222021 18:56:38,42.16,1232021,45495,ALDI 78018             HOUSTON      MDUS,5411,1
28226,01042021 09:05:51,18.06,1052021,5.39E+13,SQ *BLACK HOLE COFFEE  Houston       PA,5814,1
37226,01112021 09:55:07,5.41,1132021,1.95E+14,QT 469                 GILBERT       NY,5541,1
19485,01122021 13:30:05,63,1132021,4.45E+11,SP * VERDEGREENS       2819428880    CA,5734,1
33945,01152021 09:52:05,11,1172021,77002742,CVS/PHARM 02742--188 C Teaneck        OH,5912,1
14829,02032021 12:59:53,181.44,2052021,4.51E+11,ZARA USA 303           NEW YORK      TX,5621,1
22824,01262021 13:24:23,3.04,1282021,342925,FIESTA MART #39        HOUSTON        AZ,5411,1
31452,01152021 12:00:23,22.93,1162021,4.45E+12,TARGET        00014597 PEARLAND      TN,5411,1
26856,01192021 10:57:13,1.05,1202021,4.45E+12,USPS CHANGE OF ADDRESS 800-238-3150  WI,9402,1
26607,01192021 20:52:52,102.94,1202021,6.94E+14,TRADER JOE'S #125  QPS NEWPORT BEACH MI,5411,1
36717,01262021 15:05:24,43.17,1272021,10678194,GRINGOS MEXICAN KITCHE PEARLAND      IL,5812,1
37385,02272021 10:49:12,73.25,3012021,2.35E+11,TRAVIS VEHREG          5128544286    PA,9399,1
33717,02082021 09:53:19,166,2092021,3.56E+11,EXTREMETERRAIN.COM     8778708556    CA,5533,1
14281,01222021 12:41:38,4.69,1232021,1.42E+13,WAWA 306      00003061 ROCKY HILL    TX,5499,1
28658,01222021 15:29:20,14.4,1232021,1.74E+11,IVISA ORDER            7865746055    NY,4722,1
30881,01282021 07:54:05,32.25,1292021,4.45E+12,CVS/PHARMACY #07643    DALLAS        NJ,5912,1
33152,01302021 17:00:40,54.81,2012021,1424945,TJMAXX #0 425 FRY ROAD HOUSTON        WI,5651,1
15482,01232021 11:46:45,49.12,1252021,4.45E+12,TST* VIVEL CREPES & CO LAKEWAY       KS,5812,1
16456,02062021 11:33:59,50.78,2082021,5.54E+14,SAL'S PIZZA RESTAURANT DALLAS        MD,5812,1
27014,02052021 07:07:18,15.08,2062021,4.45E+12,WALGREENS #3822        MESQUITE      NY,5912,1
34454,02012021 11:00:10,20.4,2022021,4.45E+12,USPS PO 4845750450     KATY          TX,9402,1
26777,03072021 01:46:51,3.99,3082021,18777015,GOOGLE*GOOGLE PLAY     INTERNET      OH,5817,1
20759,01282021 17:12:44,82.23,1302021,2.66E+11,AL BIERNAT'S           DALLAS        NM,5812,1
32922,02092021 18:40:17,100,2112021,1.90E+13,MOE S ROADHOUSE        SCOTTSDALE    NJ,5812,1
17079,02112021 13:05:44,39.6,2122021,6.94E+14,TRADER JOE'S #077  QPS FREMONT       NJ,5411,1
26603,02052021 13:05:08,10.78,2062021,3.51E+11,UNA MAS MEX GRILL #004 SUNNYVALE     NY,5812,1
20669,02052021 12:16:24,8.76,2062021,3.34E+11,POPEYES 2166 / 49      HOUSTON       LA,5814,1
22965,03062021 13:22:17,5.3,3082021,5.45E+14,SEED TO TABLE          NAPLES        NY,5411,1
24029,03092021 21:06:44,95.34,3102021,4.45E+12,DavidsTea (U 514739000 514-739-0006  CA,5499,1
31488,03122021 12:42:38,16.67,3132021,4.71E+14,METROPOLITAN LUMBER    NEW YORK      TX,5099,1
31593,03192021 07:24:32,50.04,3202021,3.38E+14,EXXONMOBIL    48194393 SPRING        KS,5542,1
29042,03062021 09:08:24,25.2,3082021,5.27E+14,Subway 50508           Katy          OR,5814,1
33013,03212021 18:18:21,40.13,3232021,90730804,KROGER #3 6200 HWY 6 S MISSOURI CITY  KS,5411,1
17447,03162021 07:56:36,24.58,3182021,900004712,SAMS CLUB SAM'S Club   HOUSTON        AK,5300,1
30100,03212021 11:28:15,10,3222021,7.85E+14,Amazon.com*9I6C28N83   Amzn.com/bill FL,5942,1
38206,03212021 15:14:18,37.89,3232021,900001120,WM SUPERC Wal-Mart Sto GLADSTONE      AK,5310,1
17561,03172021 14:47:55,80,3192021,000000000JPM001,ZEL*EDUARDO DE PAULA   Columbus      MN,4829,1
32104,03172021 11:22:54,21.81,3182021,459128,SAFEWAY #2790          PORTLAND     MAUS,5411,1
23777,04052021 20:55:37,100,4062021,4.45E+11,CASH APP*DACOTA KOP    4153753176    CA,4829,1
20565,03172021 07:01:10,3.41,3192021,3.45E+11,W2 SPARK      18285171 SPRING        WI,5814,1
32218,03172021 12:34:00,100,3182021,4.45E+11,CASH APP*JASON CRAB    4153753176    PA,4829,1
36620,03222021 19:13:26,59.54,3242021,900001308,WM SUPERC Wal-Mart Sup LITTLETON      NY,5411,1
32946,03212021 10:43:23,100,3222021,4.45E+11,CASH APP*MICHAEL SU    4153753176    TN,4829,1
30483,03172021 22:59:11,68.91,3182021,3.73E+11,PIZZERIA 88            SEATTLE       SC,5812,1
15971,03192021 18:06:03,30.59,3202021,1VKWOGBF44BU45L,DOORDASH*TACOS 1986    SAN FRANCISCO PA,5812,1
25770,03182021 16:43:30,84.07,3192021,3.41E+11,GLOBAL BIKES           PHOENIX       NJ,5940,1
25423,03222021 08:33:13,88.42,3252021,3.32E+14,CHEWY.COM              800-672-4399  NY,5995,1
36453,03232021 11:53:55,50,3242021,67050307768,BEST BUY      00007765 SNELLVILLE   PAUS,5732,1
17504,03202021 10:42:22,4.94,3222021,420304,SUNOCO 03813748        DELAWARE WATE  CA,5541,1
33653,03202021 10:35:07,23.65,3222021,4.83E+11,RACHELINA INC          RICHMOND      RI,5814,1
37500,03212021 21:21:19,70,3232021,9116103483,GOTOBUS 617-354-2101   617-3542101   PA,4722,1
30808,03202021 09:51:32,14.96,3222021,4.42E+14,CHICK-FIL-A #03936     SANTA FE      RI,5814,1
37096,03202021 10:56:59,14,3222021,11199661,HACIENDA VIEJA MEXICAN INDEPENDENCE  NJ,5812,1
27694,03222021 16:30:10,45.24,3232021,2.98E+13,ATT*BILL PAYMENT       800-288-2020  TX,4899,1
32407,03182021 07:43:54,9.99,3192021,3.37E+14,APPLE.COM/BILL         866-712-7753  CO,5735,1
